symbol,base_asset,quote_asset,contract_type,underlying_type,exchange_tags,sector_l3,sector_l3_kr,subcat_code,subcat_kr,asset_class,last_price,change_24h_pct,quote_volume_24h,liquidity_tier,volatility_grade,listing_age,onboard_date
ARBUSDT,ARB,USDT,PERPETUAL,COIN,Layer-2,L2,레이어2/스케일링,Rollup,Rollup,암호화폐,0.08738,12.923,70550532.437129,T3,HIGH,LEGACY,2023-03-23
PENGUUSDT,PENGU,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme,Meme,암호화폐,0.007168,15.278,68444034.89982,T3,EXTREME,MID,2024-12-17
LITEUSDT,LITE,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,817.17,-7.886,67806129.3607,T3,HIGH,NEW,2026-05-15
AAPLUSDT,AAPL,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-BIGTECH,빅테크 · 플랫폼,주식,318.18,2.576,66096083.6948,T3,LOW,NEW,2026-04-06
DOTUSDT,DOT,USDT,PERPETUAL,COIN,Layer-1,INTEROP,인터체인,Interchain,Interchain,암호화폐,0.8234,5.972,64904350.293167,T3,MID,LEGACY,2020-08-22
DOGEUSDC,DOGE,USDC,PERPETUAL,COIN,USDC,MEME,밈코인,Meme-L1,Meme-L1,암호화폐,0.0766,8.993,64396218.75012,T3,HIGH,MID,2024-01-18
BTCU,BTC,U,PERPETUAL,COIN,PoW,MAJOR,메이저,Bitcoin,Bitcoin,암호화폐,71696.3,10.984,62405653.59,T3,HIGH,NEW,2026-07-01
GRVTUSDT,GRVT,USDT,PERPETUAL,COIN,-,OTHER,기타/미분류,미분류,미분류,암호화폐,0.2849,-3.75,61916388.0132,T3,MID,NEW,2026-07-31
CYSUSDT,CYS,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.567,3.751,61717684.7587,T3,MID,NEW,2025-12-12
1000SHIBUSDT,1000SHIB,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme,Meme,암호화폐,0.004846,8.315,61186518.078725,T3,HIGH,LEGACY,2021-05-10
TQQQUSDT,TQQQ,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-ETF-LEV,레버리지 · 인버스 ETF,주식(ETF),70.21,-3.677,60549732.5463,T3,MID,NEW,2026-06-29
BIOUSDT,BIO,USDT,PERPETUAL,COIN,-,OTHER,기타/미분류,미분류,미분류,암호화폐,0.03033,17.014,58955759.56812,T3,EXTREME,MID,2025-01-03
TUTUSDT,TUT,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,밈코인,밈코인,암호화폐,0.03195,-16.449,57356733.41112,T3,EXTREME,MID,2025-03-20
FARTCOINUSDT,FARTCOIN,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme,Meme,암호화폐,0.1547,6.69,57091288.47198,T3,MID,MID,2024-12-20
CBRSUSDT,CBRS,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-EQ-OTHER,개별주 · 기타(확인필요),주식,210.93,-3.434,56695834.4788,T3,MID,NEW,2026-05-19
INJUSDT,INJ,USDT,PERPETUAL,COIN,DeFi,L1,레이어1,AppChain,AppChain,암호화폐,4.799,13.051,56140126.8233,T3,HIGH,LEGACY,2022-08-16
BMNRUSDT,BMNR,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-CRYPTOEQ,크립토 연관주,주식,21.7,17.679,55945611.7462,T3,EXTREME,NEW,2026-06-11
WLFIUSDT,WLFI,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.06162,1.986,54694389.36666,T3,LOW,NEW,2025-08-23
AKEUSDT,AKE,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.008443,-4.253,54217242.9598093,T3,MID,NEW,2025-09-26
ZECUSDC,ZEC,USDC,PERPETUAL,COIN,PoW,PRIVACY,프라이버시,Privacy,Privacy,암호화폐,561.72,10.44,49735623.36,T4,HIGH,NEW,2025-11-19
METAUSDT,META,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-BIGTECH,빅테크 · 플랫폼,주식,545.17,0.442,49662837.2387,T4,LOW,NEW,2026-03-26
XMRUSDT,XMR,USDT,PERPETUAL,COIN,PoW,PRIVACY,프라이버시,Privacy,Privacy,암호화폐,418.56,1.048,48709355.5,T4,LOW,LEGACY,2020-02-03
SKYAIUSDT,SKYAI,USDT,PERPETUAL,COIN,AI,AI,AI/에이전트,AI-Infra,AI-Infra,암호화폐,0.07316,12.623,47200024.63222,T4,HIGH,MID,2025-05-13
PRLUSDT,PRL,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.2854,-26.745,46566635.7268,T4,EXTREME,NEW,2026-04-01
AMDUSDT,AMD,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,461.29,-5.162,45906491.2352,T4,MID,NEW,2026-05-06
ORDIUSDT,ORDI,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,BRC20,BRC20,암호화폐,4.321,27.014,45806013.4345,T4,EXTREME,MID,2023-11-07
ETHFIUSDT,ETHFI,USDT,PERPETUAL,COIN,DeFi,LST,스테이킹/리스테이킹,Restaking,Restaking,암호화폐,0.5396,10.778,45377404.19535,T4,HIGH,MID,2024-03-18
ETCUSDT,ETC,USDT,PERPETUAL,COIN,PoW,L1,레이어1,PoW-L1,PoW-L1,암호화폐,6.677,9.334,44842678.88,T4,HIGH,LEGACY,2020-01-16
BABAUSDT,BABA,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-BIGTECH,빅테크 · 플랫폼,주식,121.81,-4.139,43403753.7016,T4,MID,NEW,2026-04-20
MSFTUSDT,MSFT,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-BIGTECH,빅테크 · 플랫폼,주식,483.43,0.942,42816994.8508,T4,LOW,NEW,2026-04-20
BTCUSDT_260925,BTC,USDT,CURRENT_QUARTER,COIN,-,MAJOR,메이저,Bitcoin,Bitcoin,암호화폐,72023.9,10.85,42534307.8,T4,HIGH,NEW,2026-03-27
METUSDT,MET,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.2064,20.631,40361934.9881,T4,EXTREME,NEW,2025-10-11
VIRTUALUSDT,VIRTUAL,USDT,PERPETUAL,COIN,AI,AI,AI/에이전트,AI-Agent,AI-Agent,암호화폐,0.6336,9.809,38684658.95388,T4,HIGH,MID,2024-12-10
FETUSDT,FET,USDT,PERPETUAL,COIN,AI,AI,AI/에이전트,AI-Agent,AI-Agent,암호화폐,0.1335,10.149,38195203.1051,T4,HIGH,LEGACY,2023-01-15
HBARUSDT,HBAR,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Enterprise-L1,Enterprise-L1,암호화폐,0.07264,7.06,37052766.46718,T4,HIGH,LEGACY,2021-03-17
PLTRUSDT,PLTR,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SOFTWARE,소프트웨어 · SaaS,주식,174.11,2.099,36827194.3452,T4,LOW,NEW,2026-02-09
1000PEPEUSDC,1000PEPE,USDC,PERPETUAL,COIN,USDC,MEME,밈코인,Meme,Meme,암호화폐,0.0031102,18.955,36783954.0530304,T4,EXTREME,MID,2024-03-07
VELVETUSDT,VELVET,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.6417,-4.637,36455858.49862,T4,MID,MID,2025-07-15
KAITOUSDT,KAITO,USDT,PERPETUAL,COIN,Infrastructure,AI,AI/에이전트,AI-Infra,AI-Infra,암호화폐,0.3553,2.274,36259069.74993,T4,LOW,MID,2025-02-20
ETHUSD1,ETH,USD1,PERPETUAL,COIN,Layer-1,MAJOR,메이저,Ethereum,Ethereum,암호화폐,2273.75,18.106,34573318.06,T4,EXTREME,NEW,2026-07-03
DELLUSDT,DELL,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,431.91,-7.786,33440792.3681,T4,HIGH,NEW,2026-06-03
CRVUSDT,CRV,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,DEX,DEX,암호화폐,0.2682,11.24,32563364.91782,T4,HIGH,LEGACY,2020-09-01
DOSUSDT,DOS,USDT,PERPETUAL,COIN,-,OTHER,기타/미분류,미분류,미분류,암호화폐,0.2388,-9.305,32305182.6083,T4,HIGH,NEW,2026-08-11
WIFUSDT,WIF,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme,Meme,암호화폐,0.1559,13.547,32211266.29641,T4,HIGH,MID,2024-01-18
NATGASUSDT,NATGAS,USDT,TRADIFI_PERPETUAL,COMMODITY,TradFi,TRADFI,전통금융,TF-COMM-EN,에너지 원자재 (원유·가스),원자재,2.779,-3.137,32195129.651,T4,MID,NEW,2026-04-01
VVVUSDT,VVV,USDT,PERPETUAL,COIN,AI,AI,AI/에이전트,AI-Infra,AI-Infra,암호화폐,14.002,-0.589,31880827.07511,T4,LOW,MID,2025-01-29
1000BONKUSDT,1000BONK,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme,Meme,암호화폐,0.002624,12.909,31787251.635738,T4,HIGH,MID,2023-11-22
ZHIPUUSDT,ZHIPU,USDT,TRADIFI_PERPETUAL,HK_EQUITY,TradFi,TRADFI,전통금융,TF-HK,홍콩 · 중국 주식,주식(중화권),130.29,0.031,31717628.5636,T4,LOW,NEW,2026-07-17
EDENUSDT,EDEN,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.05316,-4.147,31455757.62859,T4,MID,NEW,2025-09-30
XPLUSDT,XPL,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,레이어1,레이어1,암호화폐,0.08213,7.205,31365278.04866,T4,HIGH,NEW,2025-08-22
LDOUSDT,LDO,USDT,PERPETUAL,COIN,DeFi,LST,스테이킹/리스테이킹,Liquid-Staking,Liquid-Staking,암호화폐,0.3371,9.984,31263704.342,T4,HIGH,LEGACY,2022-09-21
OPUSDT,OP,USDT,PERPETUAL,COIN,Layer-2,L2,레이어2/스케일링,Rollup,Rollup,암호화폐,0.09075,9.337,31011668.630219,T4,HIGH,LEGACY,2022-06-01
TRIAUSDT,TRIA,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.007893,-3.497,30597376.107986,T4,MID,NEW,2026-02-06
HOODUSDT,HOOD,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-CRYPTOEQ,크립토 연관주,주식,98.6,7.256,30190638.6873,T4,HIGH,NEW,2026-02-02
ETHUSDT_260925,ETH,USDT,CURRENT_QUARTER,COIN,-,MAJOR,메이저,Ethereum,Ethereum,암호화폐,2279.34,18.066,30123157.14,T4,EXTREME,NEW,2026-03-27
ICPUSDT,ICP,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Alt-L1,Alt-L1,암호화폐,2.306,5.586,29938709.927,T4,MID,LEGACY,2021-07-30
BEUSDT,BE,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-ENERGY,에너지 · 전력 · 원자력,주식,199.61,-5.277,29794646.2571,T4,MID,NEW,2026-05-26
APTUSDT,APT,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Alt-L1,Alt-L1,암호화폐,0.5598,4.989,29743907.14371,T4,MID,LEGACY,2022-10-18
NEIROUSDT,NEIRO,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme,Meme,암호화폐,8.578e-05,36.354,29214380.3932024,T4,EXTREME,MID,2024-09-16
CAPUSDT,CAP,USDT,PERPETUAL,COIN,-,OTHER,기타/미분류,미분류,미분류,암호화폐,0.06936,-2.939,28532622.26167,T4,LOW,NEW,2026-06-27
COHRUSDT,COHR,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,282.95,-8.634,27853199.4613,T4,HIGH,NEW,2026-05-26
LINKUSDC,LINK,USDC,PERPETUAL,COIN,USDC,INFRA,인프라,Oracle,Oracle,암호화폐,10.527,8.124,27683898.357,T4,HIGH,MID,2024-02-16
BTCUSDT_261225,BTC,USDT,NEXT_QUARTER,COIN,-,MAJOR,메이저,Bitcoin,Bitcoin,암호화폐,72790.4,10.879,26786569.7,T4,HIGH,NEW,2026-06-26
PENDLEUSDT,PENDLE,USDT,PERPETUAL,COIN,DeFi,RWA,실물자산/토큰증권,RWA-INFRA,RWA 인프라·발행체인,암호화폐,1.4477,11.156,26764467.8218,T4,HIGH,LEGACY,2023-07-28
MONUSDT,MON,USDT,PERPETUAL,COIN,DeFi,L1,레이어1,Alt-L1,Alt-L1,암호화폐,0.02604,18.85,26522072.93283,T4,EXTREME,NEW,2025-10-10
WDCUSDT,WDC,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,456.79,-8.56,26012039.6925,T4,HIGH,NEW,2026-05-26
SUIUSDC,SUI,USDC,PERPETUAL,COIN,USDC,L1,레이어1,Alt-L1,Alt-L1,암호화폐,0.7182,9.432,25820127.308,T4,HIGH,MID,2024-02-08
BRUSDT,BR,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.24196,1.272,25502942.73028,T4,LOW,MID,2025-03-21
DASHUSDT,DASH,USDT,PERPETUAL,COIN,PoW,PRIVACY,프라이버시,Privacy,Privacy,암호화폐,32.03,6.802,25438110.97,T4,MID,LEGACY,2020-02-04
ORCLUSDT,ORCL,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-BIGTECH,빅테크 · 플랫폼,주식,142.45,1.352,25132771.5448,T4,LOW,NEW,2026-05-15
HOMEUSDT,HOME,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.006233,5.913,25022509.39019,T4,MID,MID,2025-06-10
SPCXUSD1,SPCX,USD1,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-EQ-OTHER,개별주 · 기타(확인필요),주식,135.82,-5.279,24912704.9162,T4,MID,NEW,2026-07-20
TIAUSDT,TIA,USDT,PERPETUAL,COIN,Infrastructure,L2,레이어2/스케일링,DA,DA,암호화폐,0.3292,6.953,24700113.6864,T4,MID,MID,2023-10-31
AVGOUSDT,AVGO,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,361.63,-0.525,24609464.6444,T4,LOW,NEW,2026-04-20
AVAAIUSDT,AVAAI,USDT,PERPETUAL,COIN,AI,AI,AI/에이전트,AI-Infra,AI-Infra,암호화폐,0.017537,31.61,23621760.695817,T4,EXTREME,MID,2025-01-17
ARMUSDT,ARM,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,245.06,-4.172,23376890.4528,T4,MID,NEW,2026-05-26
RKLBUSDT,RKLB,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-INDUSTRIAL,산업재 · 우주항공,주식,74.65,-2.875,23316074.7996,T4,LOW,NEW,2026-05-18
JTOUSDT,JTO,USDT,PERPETUAL,COIN,DeFi,LST,스테이킹/리스테이킹,Liquid-Staking,Liquid-Staking,암호화폐,0.5775,4.79,23012580.1727,T4,MID,MID,2023-12-08
GIGGLEUSDT,GIGGLE,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,밈코인,밈코인,암호화폐,35.41,7.892,22890380.275,T4,HIGH,NEW,2025-10-09
MINIMAXUSDT,MINIMAX,USDT,TRADIFI_PERPETUAL,HK_EQUITY,TradFi,TRADFI,전통금융,TF-HK,홍콩 · 중국 주식,주식(중화권),39.22,5.402,22481116.0552,T4,MID,NEW,2026-07-17
CHIPUSDT,CHIP,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.03057,13.728,22391940.77453,T4,HIGH,NEW,2026-04-16
BANKUSDT,BANK,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,밈코인,밈코인,암호화폐,0.0359,1.041,22258296.69194,T4,LOW,MID,2025-04-18
GALAUSDT,GALA,USDT,PERPETUAL,COIN,Gaming,GAME,게임/메타버스/NFT,GameFi,GameFi,암호화폐,0.001486,9.749,21912887.124821,T4,HIGH,LEGACY,2021-09-17
COPPERUSDT,COPPER,USDT,TRADIFI_PERPETUAL,COMMODITY,TradFi,TRADFI,전통금융,TF-COMM-BASE,산업금속 (구리),원자재,6.513,-0.474,21535268.2636,T4,LOW,NEW,2026-03-06
BOMEUSDC,BOME,USDC,PERPETUAL,COIN,USDC,MEME,밈코인,Meme,Meme,암호화폐,0.0012182,60.079,21485291.0062169,T4,EXTREME,MID,2024-04-25
ZROUSDT,ZRO,USDT,PERPETUAL,COIN,Infrastructure,INTEROP,인터체인,Bridge,Bridge,암호화폐,0.874,4.884,21349027.02422,T4,MID,MID,2024-06-20
CRWVUSDT,CRWV,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,89.45,-1.876,21303570.3414,T4,LOW,NEW,2026-05-18
RENDERUSDT,RENDER,USDT,PERPETUAL,COIN,Infrastructure,AI,AI/에이전트,GPU-Compute,GPU-Compute,암호화폐,1.377,7.831,21134336.0936,T4,HIGH,MID,2024-07-26
BBUSDT,BB,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,레이어1,레이어1,암호화폐,0.00898,-17.539,20965320.29635,T4,EXTREME,MID,2024-05-13
PNUTUSDT,PNUT,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme,Meme,암호화폐,0.05153,24.891,20925964.33049,T4,EXTREME,MID,2024-11-11
AMZNUSDT,AMZN,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-BIGTECH,빅테크 · 플랫폼,주식,263.14,1.083,20376526.7509,T4,LOW,NEW,2026-02-09
APRUSDT,APR,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.1837,-7.827,20261571.45292,T4,HIGH,NEW,2025-10-23
币安人生USDT,币安人生,USDT,PERPETUAL,COIN,Chinese,OTHER,기타/미분류,중화권 테마,중화권 테마,암호화폐,0.4848,4.438,20083117.82822,T4,MID,NEW,2025-10-20
HEIUSDT,HEI,USDT,PERPETUAL,COIN,Infrastructure,INFRA,인프라,인프라,인프라,암호화폐,0.12748,-11.65,20002752.033408,T4,HIGH,MID,2025-02-13
ATOMUSDT,ATOM,USDT,PERPETUAL,COIN,Layer-1,INTEROP,인터체인,Interchain,Interchain,암호화폐,1.473,4.542,19915058.654,T4,MID,LEGACY,2020-02-07
AEROUSDT,AERO,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,DEX,DEX,암호화폐,0.477,18.392,19680751.38839,T4,EXTREME,MID,2024-12-04
BTCDOMUSDT,BTCDOM,USDT,PERPETUAL,INDEX,Index,OTHER,기타/미분류,지수,지수,암호화폐,5397.0,-1.749,19286384.9,T4,LOW,LEGACY,2021-06-17
SQQQUSDT,SQQQ,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-ETF-LEV,레버리지 · 인버스 ETF,주식(ETF),39.62,3.717,18975875.2867,T4,MID,NEW,2026-06-29
PORTALUSDT,PORTAL,USDT,PERPETUAL,COIN,Gaming,GAME,게임/메타버스/NFT,GameFi,GameFi,암호화폐,0.01108,-0.09,18506552.704625,T4,LOW,MID,2024-02-29
ADAUSDC,ADA,USDC,PERPETUAL,COIN,USDC,L1,레이어1,Alt-L1,Alt-L1,암호화폐,0.1901,8.877,18413975.3921,T4,HIGH,MID,2025-03-06
STARUSDT,STAR,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.14323,-4.386,18120759.0777,T4,MID,NEW,2026-05-14
ONUSDT,ON,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.2849,7.267,18120610.52132,T4,HIGH,NEW,2025-10-24
USELESSUSDT,USELESS,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme,Meme,암호화폐,0.04801,30.25,17928999.73676,T4,EXTREME,MID,2025-08-15
BICOUSDT,BICO,USDT,PERPETUAL,COIN,Infrastructure,INFRA,인프라,인프라,인프라,암호화폐,0.01755,0.978,17892900.24547,T4,LOW,MID,2023-09-28
EDGEUSDT,EDGE,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.3226,9.504,17616036.3737,T4,HIGH,NEW,2026-03-19
ZAMAUSDT,ZAMA,USDT,PERPETUAL,COIN,Infrastructure,INFRA,인프라,인프라,인프라,암호화폐,0.04599,11.221,17206580.39846,T4,HIGH,NEW,2026-01-09
IRENUSDT,IREN,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-CRYPTOEQ,크립토 연관주,주식,42.56,1.357,16744655.3372,T4,LOW,NEW,2026-06-03
GLWUSDT,GLW,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,149.53,-7.32,16618601.0194,T4,HIGH,NEW,2026-06-11
LABUSDT,LAB,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.08084,0.622,16491690.76992,T4,LOW,NEW,2025-10-17
HUSDT,H,USDT,PERPETUAL,COIN,Infrastructure,INFRA,인프라,인프라,인프라,암호화폐,0.08082,-16.758,16476650.10962,T4,EXTREME,MID,2025-06-25
SEIUSDT,SEI,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Alt-L1,Alt-L1,암호화폐,0.04182,7.176,16401819.57125,T4,HIGH,LEGACY,2023-08-17
ESPUSDT,ESP,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.08901,14.203,16396219.00651,T4,HIGH,NEW,2026-02-10
ETHUSDT_261225,ETH,USDT,NEXT_QUARTER,COIN,-,MAJOR,메이저,Ethereum,Ethereum,암호화폐,2295.16,18.064,16206113.58,T4,EXTREME,NEW,2026-06-26
EULUSDT,EUL,USDT,PERPETUAL,COIN,-,DEFI,디파이,Lending,Lending,암호화폐,1.2308,-2.75,16158116.95189,T4,LOW,NEW,2025-10-13
ALLOUSDT,ALLO,USDT,PERPETUAL,COIN,AI,AI,AI/에이전트,AI,AI,암호화폐,0.28906,-3.033,16149157.22195,T4,MID,NEW,2025-11-11
TRUMPUSDC,TRUMP,USDC,PERPETUAL,COIN,USDC,MEME,밈코인,Political-Meme,Political-Meme,암호화폐,1.65,17.188,15933699.11844,T4,EXTREME,MID,2025-03-06
DEXEUSDT,DEXE,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,1.895,3.214,15713452.33351,T4,MID,MID,2024-12-24
GRAMUSDT,GRAM,USDT,PERPETUAL,COIN,-,OTHER,기타/미분류,미분류,미분류,암호화폐,1.389,4.989,15388496.7637,T4,MID,NEW,2026-07-02
CAKEUSDT,CAKE,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,DEX,DEX,암호화폐,1.6094,4.69,15268380.6625,T4,MID,MID,2023-11-02
ALGOUSDT,ALGO,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Alt-L1,Alt-L1,암호화폐,0.08462,5.974,15262613.364494,T4,MID,LEGACY,2020-06-16
AVAXUSDC,AVAX,USDC,PERPETUAL,COIN,USDC,L1,레이어1,Alt-L1,Alt-L1,암호화폐,6.804,7.505,15219034.01147,T4,HIGH,MID,2024-03-20
JUPUSDT,JUP,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,Aggregator,Aggregator,암호화폐,0.1858,10.661,15184419.7433,T4,HIGH,MID,2024-01-31
NEARUSDC,NEAR,USDC,PERPETUAL,COIN,USDC,L1,레이어1,Alt-L1,Alt-L1,암호화폐,1.719,5.98,14996872.913,T4,MID,MID,2024-04-11
BCHUSDC,BCH,USDC,PERPETUAL,COIN,USDC,L1,레이어1,PoW-L1,PoW-L1,암호화폐,215.11,5.42,14659872.39,T4,MID,MID,2024-04-04
COTIUSDT,COTI,USDT,PERPETUAL,COIN,Payment,PAY,결제,Payments,Payments,암호화폐,0.009985,1.453,14525115.738826,T4,LOW,LEGACY,2021-03-09
PLUMEUSDT,PLUME,USDT,PERPETUAL,COIN,Layer-1,RWA,실물자산/토큰증권,RWA-INFRA,RWA 인프라·발행체인,암호화폐,0.01314,2.336,14237747.79892,T4,LOW,MID,2025-03-21
EIGENUSDT,EIGEN,USDT,PERPETUAL,COIN,Infrastructure,LST,스테이킹/리스테이킹,Restaking,Restaking,암호화폐,0.1888,9.704,14180665.98569,T4,HIGH,MID,2024-10-01
HANAUSDT,HANA,USDT,PERPETUAL,COIN,Alpha,ALPHA,알파(신규·소형),알파(신규·소형),알파(신규·소형),암호화폐,0.01897,-29.375,13966879.26021,T4,EXTREME,NEW,2025-09-26
TSMUSDT,TSM,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,408.95,-1.754,13801927.5678,T4,LOW,NEW,2026-04-06
POLUSDT,POL,USDT,PERPETUAL,COIN,Layer-2,L2,레이어2/스케일링,Sidechain,Sidechain,암호화폐,0.08191,-0.024,13742645.40673,T4,LOW,MID,2024-09-13
ENAUSDC,ENA,USDC,PERPETUAL,COIN,USDC,STABLE,스테이블코인,Synthetic-Dollar,Synthetic-Dollar,암호화폐,0.09914,17.702,13683374.34576,T4,EXTREME,MID,2024-05-02
PROMUSDT,PROM,USDT,PERPETUAL,COIN,NFT,GAME,게임/메타버스/NFT,NFT,NFT,암호화폐,2.05,1.435,13599262.002,T4,LOW,MID,2025-01-15
1000FLOKIUSDT,1000FLOKI,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme,Meme,암호화폐,0.02254,12.195,13535963.30432,T4,HIGH,LEGACY,2023-05-06
SCRTUSDT,SCRT,USDT,PERPETUAL,COIN,Layer-1,PRIVACY,프라이버시,Privacy,Privacy,암호화폐,0.02095,-19.732,13495456.40312,T4,EXTREME,MID,2024-11-21
XPTUSDT,XPT,USDT,TRADIFI_PERPETUAL,COMMODITY,TradFi,TRADFI,전통금융,TF-COMM-PM,귀금속 (금·은·백금·팔라듐),원자재,1794.98,2.839,13422607.3391,T4,LOW,NEW,2026-01-30
GRASSUSDT,GRASS,USDT,PERPETUAL,COIN,AI,AI,AI/에이전트,AI-Data,AI-Data,암호화폐,0.3062,-3.315,12416638.88745,T4,MID,MID,2024-11-08
ONGUSDT,ONG,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,레이어1,레이어1,암호화폐,0.05996,-1.479,12321870.43331,T4,LOW,MID,2023-11-27
