symbol,base_asset,quote_asset,contract_type,underlying_type,exchange_tags,sector_l3,sector_l3_kr,subcat_code,subcat_kr,asset_class,last_price,change_24h_pct,quote_volume_24h,liquidity_tier,volatility_grade,listing_age,onboard_date
PUMPBTCUSDT,PUMPBTC,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,디파이,디파이,암호화폐,0.01071,5.83,424316.947,T4,MID,MID,2025-06-13
NETUSDT,NET,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SOFTWARE,소프트웨어 · SaaS,주식,291.42,-3.183,419159.7273,T4,MID,NEW,2026-08-17
EBAYUSDT,EBAY,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-BIGTECH,빅테크 · 플랫폼,주식,102.6,0.098,406978.0374,T4,LOW,NEW,2026-06-09
CTKUSDT,CTK,USDT,PERPETUAL,COIN,Infrastructure,INFRA,인프라,Security,Security,암호화폐,0.1115,7.834,404338.6108,T4,HIGH,MID,2025-04-30
EWZUSDT,EWZ,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-ETF-SECTOR,섹터 · 국가 ETF,주식(ETF),33.99,-0.614,403960.9471,T4,LOW,NEW,2026-06-10
1000000BOBUSDT,1000000BOB,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,밈코인,밈코인,암호화폐,0.01794,4.424,400094.92167,T4,MID,MID,2025-06-05
SONYUSDT,SONY,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-BIGTECH,빅테크 · 플랫폼,주식,23.7,1.325,392008.8662,T4,LOW,NEW,2026-06-22
SOFIUSDT,SOFI,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-FIN,금융 · 핀테크,주식,18.83,5.965,362951.2135,T4,MID,NEW,2026-07-21
TZAUSDT,TZA,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-ETF-LEV,레버리지 · 인버스 ETF,주식(ETF),38.51,1.583,349926.794,T4,LOW,NEW,2026-07-16
VUSDT,V,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-FIN,금융 · 핀테크,주식,366.05,0.279,341715.1106,T4,LOW,NEW,2026-05-18
SHOPUSDT,SHOP,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-BIGTECH,빅테크 · 플랫폼,주식,146.16,-0.307,317828.9893,T4,LOW,NEW,2026-08-17
HANMIUSDT,HANMI,USDT,TRADIFI_PERPETUAL,KR_EQUITY,TradFi,TRADFI,전통금융,TF-KR,한국 주식 · ETF,주식(한국),161.71,-0.797,315454.8607,T4,LOW,NEW,2026-08-14
PYPLUSDT,PYPL,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-FIN,금융 · 핀테크,주식,61.12,0.975,243260.0806,T4,LOW,NEW,2026-07-29
NAVERUSDT,NAVER,USDT,TRADIFI_PERPETUAL,KR_EQUITY,TradFi,TRADFI,전통금융,TF-KR,한국 주식 · ETF,주식(한국),159.12,6.513,241579.4995,T4,MID,NEW,2026-08-14
GSUSDT,GS,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-FIN,금융 · 핀테크,주식,1013.11,-2.838,221400.8248,T4,LOW,NEW,2026-07-29
LGELECTRONICSUSDT,LGELECTRONICS,USDT,TRADIFI_PERPETUAL,KR_EQUITY,TradFi,TRADFI,전통금융,TF-KR,한국 주식 · ETF,주식(한국),145.48,-0.158,196625.8558,T4,LOW,NEW,2026-08-14
DATAIPUSDC,DATAIP,USDC,PERPETUAL,COIN,-,AI,AI/에이전트,AI-Infra,AI-Infra,암호화폐,0.1783,2.767,132483.5028,T4,LOW,NEW,2026-07-03
ETHBTC,ETH,BTC,PERPETUAL,COIN,Cross Pair,MAJOR,메이저,Ethereum,Ethereum,암호화폐,0.031701,6.433,641.705848,T4,MID,LEGACY,2023-05-25
